TIMESTAMP,trap-xcor,trap-ycor
2010-01-01 12:00:08.055,8.0,-12.0
2010-01-01 12:00:08.061,-10.0,12.0
2010-01-01 12:00:08.083,-13.0,14.0
2010-01-01 12:00:08.117,5.0,-3.0
2010-01-01 12:00:08.147,-12.0,14.0
2010-01-01 12:00:08.150,1.0,-12.0
2010-01-01 12:00:08.170,1.0,-8.0
2010-01-01 12:00:08.188,-12.0,-12.0
2010-01-01 12:00:08.198,-14.0,-10.0
2010-01-01 12:00:08.202,2.0,-11.0
2010-01-01 12:00:08.225,6.0,-7.0
2010-01-01 12:00:08.227,-10.0,4.0
2010-01-01 12:00:08.258,-8.0,-8.0
2010-01-01 12:00:08.282,-6.0,9.0
2010-01-01 12:00:08.295,-16.0,12.0
2010-01-01 12:00:08.310,-7.0,13.0
2010-01-01 12:00:08.364,-7.0,10.0
2010-01-01 12:00:08.388,-5.0,14.0
2010-01-01 12:00:08.401,6.0,-16.0
2010-01-01 12:00:08.410,-3.0,-4.0
2010-01-01 12:00:08.440,-3.0,-13.0
2010-01-01 12:00:08.457,-9.0,-5.0
2010-01-01 12:00:08.476,-13.0,-7.0
2010-01-01 12:00:08.487,8.0,-2.0
2010-01-01 12:00:08.493,-8.0,-14.0
2010-01-01 12:00:08.504,-9.0,6.0
2010-01-01 12:00:08.513,-9.0,4.0
2010-01-01 12:00:08.517,-3.0,-11.0
2010-01-01 12:00:08.530,-16.0,-6.0
2010-01-01 12:00:08.538,-16.0,-6.0
2010-01-01 12:00:08.545,-10.0,-10.0
2010-01-01 12:00:08.560,2.0,-16.0
2010-01-01 12:00:08.581,-6.0,14.0
2010-01-01 12:00:08.614,7.0,-16.0
2010-01-01 12:00:08.636,7.0,-16.0
2010-01-01 12:00:08.639,-3.0,4.0
2010-01-01 12:00:08.669,-12.0,10.0
2010-01-01 12:00:08.700,-13.0,3.0
2010-01-01 12:00:08.712,-5.0,3.0
2010-01-01 12:00:08.725,-10.0,-12.0
2010-01-01 12:00:08.730,-14.0,-5.0
2010-01-01 12:00:08.734,-6.0,8.0
2010-01-01 12:00:08.743,7.0,-7.0
2010-01-01 12:00:08.747,2.0,-14.0
2010-01-01 12:00:08.760,0.0,0.0
2010-01-01 12:00:08.763,-6.0,2.0
2010-01-01 12:00:08.777,-8.0,-12.0
2010-01-01 12:00:08.779,-9.0,11.0
2010-01-01 12:00:08.792,5.0,-10.0
2010-01-01 12:00:08.817,-15.0,16.0
2010-01-01 12:00:08.823,5.0,-8.0
2010-01-01 12:00:08.851,4.0,-6.0
2010-01-01 12:00:08.858,-4.0,-13.0
2010-01-01 12:00:08.864,-6.0,-2.0
2010-01-01 12:00:08.908,-4.0,-11.0
2010-01-01 12:00:08.911,-1.0,1.0
2010-01-01 12:00:08.921,-13.0,12.0
2010-01-01 12:00:08.936,-3.0,11.0
2010-01-01 12:00:08.942,-2.0,5.0
2010-01-01 12:00:08.956,-2.0,5.0
2010-01-01 12:00:08.961,2.0,0.0
2010-01-01 12:00:08.977,4.0,-13.0
2010-01-01 12:00:08.988,3.0,-16.0
2010-01-01 12:00:09.004,-10.0,13.0
2010-01-01 12:00:09.007,-5.0,8.0
2010-01-01 12:00:09.013,1.0,-14.0
2010-01-01 12:00:09.016,-9.0,10.0
2010-01-01 12:00:09.020,-11.0,-3.0
2010-01-01 12:00:09.038,-15.0,-8.0
2010-01-01 12:00:09.094,5.0,-12.0
2010-01-01 12:00:09.123,-15.0,9.0
2010-01-01 12:00:09.128,-10.0,0.0
2010-01-01 12:00:09.146,-9.0,-10.0
2010-01-01 12:00:09.154,-6.0,-14.0
2010-01-01 12:00:09.164,7.0,-14.0
2010-01-01 12:00:09.187,7.0,-14.0
2010-01-01 12:00:09.204,2.0,-1.0
2010-01-01 12:00:09.215,11.0,-7.0
2010-01-01 12:00:09.224,-8.0,0.0
2010-01-01 12:00:09.242,-14.0,3.0
2010-01-01 12:00:09.247,6.0,-15.0
2010-01-01 12:00:09.262,-15.0,5.0
2010-01-01 12:00:09.269,-15.0,13.0
2010-01-01 12:00:09.278,4.0,-8.0
2010-01-01 12:00:09.299,-1.0,4.0
2010-01-01 12:00:09.336,-10.0,14.0
2010-01-01 12:00:09.351,-13.0,13.0
2010-01-01 12:00:09.371,-13.0,13.0
2010-01-01 12:00:09.372,9.0,-13.0
2010-01-01 12:00:09.388,-10.0,6.0
2010-01-01 12:00:09.390,13.0,-15.0
2010-01-01 12:00:09.413,1.0,-9.0
2010-01-01 12:00:09.430,-6.0,10.0
2010-01-01 12:00:09.434,-1.0,-16.0
2010-01-01 12:00:09.436,3.0,-15.0
2010-01-01 12:00:09.439,5.0,-11.0
2010-01-01 12:00:09.441,-7.0,5.0
2010-01-01 12:00:09.453,10.0,-16.0
2010-01-01 12:00:09.474,-14.0,-8.0
2010-01-01 12:00:09.478,-15.0,-2.0
2010-01-01 12:00:09.487,-8.0,5.0
2010-01-01 12:00:09.502,-9.0,13.0
2010-01-01 12:00:09.504,-14.0,14.0
2010-01-01 12:00:09.507,4.0,-14.0
2010-01-01 12:00:09.522,4.0,-2.0
2010-01-01 12:00:09.529,-2.0,1.0
2010-01-01 12:00:09.543,3.0,-13.0
2010-01-01 12:00:09.551,-6.0,15.0
2010-01-01 12:00:09.563,-7.0,11.0
2010-01-01 12:00:09.571,1.0,8.0
2010-01-01 12:00:09.603,1.0,-1.0
2010-01-01 12:00:09.608,-6.0,7.0
2010-01-01 12:00:09.616,-8.0,8.0
2010-01-01 12:00:09.619,-16.0,-13.0
2010-01-01 12:00:09.620,11.0,-6.0
2010-01-01 12:00:09.643,9.0,-3.0
2010-01-01 12:00:09.657,-14.0,0.0
2010-01-01 12:00:09.673,-9.0,-8.0
2010-01-01 12:00:09.705,2.0,4.0
2010-01-01 12:00:09.736,-15.0,12.0
2010-01-01 12:00:09.756,-12.0,-13.0
2010-01-01 12:00:09.764,5.0,-4.0
2010-01-01 12:00:09.775,9.0,-12.0
2010-01-01 12:00:09.777,-6.0,12.0
2010-01-01 12:00:09.784,5.0,8.0
2010-01-01 12:00:09.810,-5.0,-14.0
2010-01-01 12:00:09.819,-13.0,-5.0
2010-01-01 12:00:09.833,4.0,1.0
2010-01-01 12:00:09.839,6.0,-14.0
2010-01-01 12:00:09.851,-12.0,-3.0
2010-01-01 12:00:09.867,-14.0,13.0
2010-01-01 12:00:09.873,-12.0,12.0
2010-01-01 12:00:09.888,-8.0,9.0
2010-01-01 12:00:09.891,5.0,3.0
2010-01-01 12:00:09.920,-16.0,-5.0
2010-01-01 12:00:09.922,1.0,5.0
2010-01-01 12:00:09.934,-4.0,0.0
2010-01-01 12:00:09.942,-11.0,-16.0
2010-01-01 12:00:09.943,-3.0,2.0
2010-01-01 12:00:09.952,3.0,-10.0
2010-01-01 12:00:09.958,-13.0,16.0
2010-01-01 12:00:09.962,15.0,-4.0
2010-01-01 12:00:09.968,6.0,-13.0
2010-01-01 12:00:09.976,12.0,-2.0
2010-01-01 12:00:09.978,-11.0,11.0
2010-01-01 12:00:09.981,8.0,-3.0
2010-01-01 12:00:10.000,9.0,-1.0
2010-01-01 12:00:10.010,6.0,-10.0
2010-01-01 12:00:10.012,-8.0,11.0
2010-01-01 12:00:10.020,-3.0,15.0
2010-01-01 12:00:10.025,-13.0,7.0
2010-01-01 12:00:10.046,3.0,2.0
2010-01-01 12:00:10.063,-11.0,10.0
2010-01-01 12:00:10.093,8.0,-5.0
2010-01-01 12:00:10.108,-13.0,8.0
2010-01-01 12:00:10.136,-13.0,8.0
2010-01-01 12:00:10.158,13.0,-13.0
2010-01-01 12:00:10.169,-13.0,10.0
2010-01-01 12:00:10.176,-12.0,9.0
2010-01-01 12:00:10.178,-7.0,2.0
2010-01-01 12:00:10.184,-13.0,5.0
2010-01-01 12:00:10.193,-10.0,-6.0
2010-01-01 12:00:10.206,10.0,-14.0
2010-01-01 12:00:10.213,-1.0,5.0
2010-01-01 12:00:10.217,14.0,-15.0
2010-01-01 12:00:10.236,1.0,6.0
2010-01-01 12:00:10.244,13.0,-8.0
2010-01-01 12:00:10.253,-8.0,7.0
2010-01-01 12:00:10.279,2.0,-12.0
2010-01-01 12:00:10.280,6.0,-3.0
2010-01-01 12:00:10.284,-4.0,10.0
2010-01-01 12:00:10.291,-4.0,10.0
2010-01-01 12:00:10.325,11.0,-1.0
2010-01-01 12:00:10.340,14.0,-16.0
2010-01-01 12:00:10.348,2.0,-8.0
2010-01-01 12:00:10.353,-12.0,5.0
2010-01-01 12:00:10.358,-6.0,11.0
2010-01-01 12:00:10.374,-3.0,14.0
2010-01-01 12:00:10.377,-14.0,6.0
2010-01-01 12:00:10.410,3.0,7.0
2010-01-01 12:00:10.431,13.0,-4.0
2010-01-01 12:00:10.450,14.0,-14.0
2010-01-01 12:00:10.466,1.0,-13.0
2010-01-01 12:00:10.483,11.0,-3.0
2010-01-01 12:00:10.519,9.0,-6.0
2010-01-01 12:00:10.529,5.0,-13.0
2010-01-01 12:00:10.533,-16.0,13.0
2010-01-01 12:00:10.534,-11.0,-9.0
2010-01-01 12:00:10.561,-2.0,14.0
2010-01-01 12:00:10.566,-11.0,5.0
2010-01-01 12:00:10.571,-6.0,-7.0
2010-01-01 12:00:10.574,-12.0,8.0
2010-01-01 12:00:10.577,-4.0,5.0
2010-01-01 12:00:10.614,-5.0,13.0
2010-01-01 12:00:10.627,-14.0,9.0
2010-01-01 12:00:10.631,-11.0,-8.0
2010-01-01 12:00:10.633,-1.0,8.0
2010-01-01 12:00:10.635,-15.0,10.0
2010-01-01 12:00:10.637,-7.0,9.0
2010-01-01 12:00:10.677,-15.0,8.0
2010-01-01 12:00:10.695,-3.0,5.0
2010-01-01 12:00:10.721,12.0,1.0
2010-01-01 12:00:10.755,1.0,7.0
2010-01-01 12:00:10.760,-3.0,3.0
2010-01-01 12:00:10.769,-2.0,9.0
2010-01-01 12:00:10.783,-4.0,2.0
2010-01-01 12:00:10.792,-12.0,7.0
2010-01-01 12:00:10.795,-15.0,15.0
2010-01-01 12:00:10.798,-2.0,4.0
2010-01-01 12:00:10.824,12.0,-5.0
2010-01-01 12:00:10.832,7.0,-13.0
2010-01-01 12:00:10.839,-1.0,11.0
2010-01-01 12:00:10.854,10.0,-11.0
2010-01-01 12:00:10.855,-7.0,-4.0
2010-01-01 12:00:10.864,-13.0,9.0
2010-01-01 12:00:10.873,1.0,-5.0
2010-01-01 12:00:10.884,10.0,-2.0
2010-01-01 12:00:10.938,9.0,-10.0
2010-01-01 12:00:10.950,3.0,0.0
2010-01-01 12:00:10.999,5.0,-14.0
2010-01-01 12:00:11.000,-6.0,5.0
2010-01-01 12:00:11.024,-10.0,15.0
2010-01-01 12:00:11.033,-10.0,7.0
2010-01-01 12:00:11.046,-7.0,4.0
2010-01-01 12:00:11.059,3.0,3.0
2010-01-01 12:00:11.063,-11.0,7.0
2010-01-01 12:00:11.067,13.0,-7.0
2010-01-01 12:00:11.072,15.0,-2.0
2010-01-01 12:00:11.076,-7.0,12.0
2010-01-01 12:00:11.077,-1.0,-2.0
2010-01-01 12:00:11.080,-14.0,11.0
2010-01-01 12:00:11.083,-16.0,8.0
2010-01-01 12:00:11.084,8.0,-16.0
2010-01-01 12:00:11.121,14.0,-12.0
2010-01-01 12:00:11.145,-4.0,7.0
2010-01-01 12:00:11.159,-10.0,9.0
2010-01-01 12:00:11.166,1.0,15.0
2010-01-01 12:00:11.171,-3.0,12.0
2010-01-01 12:00:11.174,-10.0,11.0
2010-01-01 12:00:11.175,11.0,-10.0
2010-01-01 12:00:11.213,14.0,-11.0
2010-01-01 12:00:11.272,-2.0,-11.0
2010-01-01 12:00:11.274,-15.0,6.0
2010-01-01 12:00:11.279,-13.0,11.0
2010-01-01 12:00:11.289,7.0,7.0
2010-01-01 12:00:11.291,-11.0,8.0
2010-01-01 12:00:11.294,8.0,-15.0
2010-01-01 12:00:11.300,-14.0,-15.0
2010-01-01 12:00:11.302,-14.0,-15.0
2010-01-01 12:00:11.337,-6.0,-5.0
2010-01-01 12:00:11.343,-9.0,16.0
2010-01-01 12:00:11.353,-11.0,13.0
2010-01-01 12:00:11.366,12.0,0.0
2010-01-01 12:00:11.374,4.0,-12.0
2010-01-01 12:00:11.377,-11.0,12.0
2010-01-01 12:00:11.379,0.0,13.0
2010-01-01 12:00:11.382,14.0,-9.0
2010-01-01 12:00:11.389,-16.0,-7.0
2010-01-01 12:00:11.416,6.0,-5.0
2010-01-01 12:00:11.420,7.0,-11.0
2010-01-01 12:00:11.428,-3.0,13.0
2010-01-01 12:00:11.433,15.0,-6.0
2010-01-01 12:00:11.444,-7.0,-1.0
2010-01-01 12:00:11.473,4.0,-15.0
2010-01-01 12:00:11.475,12.0,4.0
2010-01-01 12:00:11.490,-15.0,4.0
2010-01-01 12:00:11.492,9.0,-2.0
2010-01-01 12:00:11.493,-12.0,15.0
2010-01-01 12:00:11.541,15.0,3.0
2010-01-01 12:00:11.585,-6.0,3.0
2010-01-01 12:00:11.591,10.0,3.0
2010-01-01 12:00:11.616,-15.0,11.0
2010-01-01 12:00:11.619,14.0,-2.0
2010-01-01 12:00:11.660,-10.0,5.0
2010-01-01 12:00:11.661,0.0,6.0
2010-01-01 12:00:11.675,1.0,0.0
2010-01-01 12:00:11.678,-8.0,15.0
2010-01-01 12:00:11.693,-8.0,15.0
2010-01-01 12:00:11.716,2.0,8.0
2010-01-01 12:00:11.723,10.0,-12.0
2010-01-01 12:00:11.737,1.0,4.0
2010-01-01 12:00:11.744,12.0,-1.0
2010-01-01 12:00:11.756,8.0,-1.0
2010-01-01 12:00:11.769,9.0,-5.0
2010-01-01 12:00:11.785,-2.0,-15.0
2010-01-01 12:00:11.806,1.0,-2.0
2010-01-01 12:00:11.815,2.0,9.0
2010-01-01 12:00:11.823,10.0,-4.0
2010-01-01 12:00:11.830,4.0,0.0
2010-01-01 12:00:11.841,-6.0,6.0
2010-01-01 12:00:11.860,-1.0,15.0
2010-01-01 12:00:11.863,2.0,3.0
2010-01-01 12:00:11.889,-14.0,15.0
2010-01-01 12:00:11.905,11.0,-16.0
2010-01-01 12:00:11.916,-1.0,14.0
2010-01-01 12:00:11.930,15.0,-15.0
2010-01-01 12:00:11.938,-16.0,6.0
2010-01-01 12:00:11.964,-16.0,6.0
2010-01-01 12:00:11.973,-4.0,3.0
2010-01-01 12:00:11.981,12.0,-14.0
2010-01-01 12:00:11.996,-2.0,16.0
2010-01-01 12:00:12.003,13.0,-10.0
2010-01-01 12:00:12.010,4.0,14.0
2010-01-01 12:00:12.016,2.0,7.0
2010-01-01 12:00:12.025,-11.0,14.0
2010-01-01 12:00:12.055,-1.0,2.0
2010-01-01 12:00:12.064,13.0,-5.0
2010-01-01 12:00:12.065,3.0,11.0
2010-01-01 12:00:12.068,0.0,-14.0
2010-01-01 12:00:12.071,-15.0,14.0
2010-01-01 12:00:12.106,-12.0,6.0
2010-01-01 12:00:12.114,-10.0,3.0
2010-01-01 12:00:12.125,8.0,3.0
2010-01-01 12:00:12.128,14.0,-8.0
2010-01-01 12:00:12.133,15.0,-11.0
2010-01-01 12:00:12.195,-1.0,7.0
2010-01-01 12:00:12.199,-4.0,6.0
2010-01-01 12:00:12.260,7.0,-2.0
2010-01-01 12:00:12.269,-16.0,10.0
2010-01-01 12:00:12.274,3.0,9.0
2010-01-01 12:00:12.301,10.0,-9.0
